Source Target Weight
岸川慎吾 近藤直弼 14
福山启次郎 渡真利忍 2
福山启次郎 半泽 17
福山启次郎 大和田晓 9
福山启次郎 岸川慎吾 1
福山启次郎 汤浅 2
电脑杂技 森山雅弘 38
电脑杂技 三木重行 12
电脑杂技 冈光秀 1
电脑杂技 半泽 72
电脑杂技 伊佐山泰二 42
电脑杂技 渡真利忍 9
电脑杂技 濑名洋介 41
电脑杂技 近藤直弼 2
电脑杂技 苅田光一 1
电脑杂技 玉置 21
电脑杂技 三笠洋一郎 21
电脑杂技 中野渡谦 6
电脑杂技 内藤宽 4
森山雅弘 半泽 119
森山雅弘 电脑杂技 38
森山雅弘 三木重行 50
森山雅弘 渡真利忍 5
森山雅弘 濑名洋介 89
森山雅弘 苅田光一 2
森山雅弘 近藤直弼 2
森山雅弘 玉置 9
濑名洋介 电脑杂技 41
濑名洋介 森山雅弘 89
濑名洋介 半泽 52
濑名洋介 三木重行 2
濑名洋介 玉置 5
三木重行 森山雅弘 50
三木重行 半泽 62
三木重行 电脑杂技 12
三木重行 伊佐山泰二 8
三木重行 濑名洋介 2
三木重行 渡真利忍 1
三木重行 三笠洋一郎 2
冈光秀 电脑杂技 1
冈光秀 半泽 1
伊佐山泰二 半泽 53
伊佐山泰二 电脑杂技 42
伊佐山泰二 三木重行 8
伊佐山泰二 渡真利忍 3
伊佐山泰二 三笠洋一郎 70
伊佐山泰二 中野渡谦 5
伊佐山泰二 玉置 2
伊佐山泰二 内藤宽 28
玉置 电脑杂技 21
玉置 伊佐山泰二 2
玉置 半泽 15
玉置 濑名洋介 5
玉置 森山雅弘 9
三笠洋一郎 伊佐山泰二 70
三笠洋一郎 半泽 21
三笠洋一郎 中野渡谦 19
三笠洋一郎 电脑杂技 21
三笠洋一郎 渡真利忍 1
三笠洋一郎 三木重行 2
三笠洋一郎 内藤宽 4
纪本平八 内藤宽 23
纪本平八 帝国航空 23
纪本平八 半泽 64
纪本平八 渡真利忍 13
纪本平八 白井亚希子 25
纪本平八 箕部启治 47
纪本平八 中野渡谦 36
纪本平八 谷川幸代 1
纪本平八 伊势岛酒店 1
纪本平八 黑崎骏一 12
纪本平八 近藤直弼 1
纪本平八 牧野 11
纪本平八 大和田晓 4
牧野 纪本平八 11
牧野 中野渡谦 12
帝国航空 内藤宽 7
帝国航空 半泽 80
帝国航空 中野渡谦 8
帝国航空 神谷岩夫 10
帝国航空 纪本平八 23
帝国航空 渡真利忍 13
帝国航空 白井亚希子 40
帝国航空 谷川幸代 11
帝国航空 箕部启治 17
帝国航空 黑崎骏一 21
帝国航空 近藤直弼 3
白井亚希子 半泽 37
白井亚希子 帝国航空 40
白井亚希子 箕部启治 62
白井亚希子 中野渡谦 16
白井亚希子 纪本平八 25
白井亚希子 渡真利忍 7
白井亚希子 黑崎骏一 2
白井亚希子 近藤直弼 2
箕部启治 半泽 43
箕部启治 白井亚希子 62
箕部启治 纪本平八 47
箕部启治 帝国航空 17
箕部启治 中野渡谦 7
箕部启治 渡真利忍 4
箕部启治 近藤直弼 6
